2021/06/09 14:11:22 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1623219082364643100}
2021/06/09 14:11:55 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateChip err: 芯片已存在","time":1623219115844923400}
2021/06/09 14:25:39 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdateChip err: 芯片已存在","time":1623219939663792500}
2021/06/09 14:27:22 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdateChip err: 芯片已存在","time":1623220042911326800}
2021/06/09 14:29:30 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdateChip err: 芯片已存在","time":1623220170893169600}
2021/06/09 14:43:11 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: Error 1364: Field 'id' doesn't have a default value","time":1623220991760990800}
2021/06/09 14:43:38 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: Error 1364: Field 'plugin_about_id' doesn't have a default value","time":1623221018921958600}
2021/06/09 14:44:01 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: Error 1146: Table 'bugu.bugu_plugin' doesn't exist","time":1623221041066397000}
2021/06/09 14:45:54 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: 不存在该芯片","time":1623221154485649600}
2021/06/09 14:46:05 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: 不存在该芯片","time":1623221165450019300}
2021/06/09 14:48:18 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreatePlugin err: 插件已存在","time":1623221298956802700}
2021/06/09 20:16:03 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.LoginUser err: 账号或密码错误","time":1623240963074018900}
2021/06/09 20:16:09 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.LoginUser err: 账号或密码错误","time":1623240969690397000}
2021/06/09 20:16:12 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.LoginUser err: 账号或密码错误","time":1623240972191236700}
2021/06/09 20:45:46 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1623242746103309100}
2021/06/09 20:46:03 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1623242763499295000}
2021/06/09 20:47:58 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.UpdateModule err: 不存在该插件","time":1623242878266321400}
2021/06/09 21:04:24 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateOverload err: 不存在该模块","time":1623243864689011900}
2021/06/12 14:34:55 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: JsonOverloadOutput为必填字段,JsonOverloadInput为必填字段","time":1623479695884248200}
2021/06/12 14:35:50 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: JsonOverloadInput为必填字段","time":1623479750275729300}
